datetime,open,high,low,close,volume,candle_color
2026-06-29 03:45:00,24061.75,24110.75,24032.35,24064.8,45238675.0,GREEN
2026-06-29 04:00:00,24065.7,24094.7,24005.45,24094.0,22757896.0,GREEN
2026-06-29 04:15:00,24092.7,24095.25,24063.15,24075.55,15301087.0,RED
2026-06-29 04:30:00,24076.6,24088.0,24051.75,24061.8,12416268.0,RED
2026-06-29 04:45:00,24061.9,24120.0,24052.6,24112.15,16179257.0,GREEN
2026-06-29 05:00:00,24112.75,24117.2,24091.3,24112.3,12602855.0,RED
2026-06-29 05:15:00,24115.5,24115.5,24047.4,24066.35,12508764.0,RED
2026-06-29 05:30:00,24066.9,24090.9,24058.15,24073.0,11031143.0,GREEN
2026-06-29 05:45:00,24072.45,24084.25,24056.5,24061.2,12022034.0,RED
2026-06-29 06:00:00,24062.3,24065.25,24018.65,24031.6,15051292.0,RED
2026-06-29 06:15:00,24032.45,24036.9,24002.05,24011.15,11777962.0,RED
2026-06-29 06:30:00,24012.95,24019.25,23989.8,23993.7,11740144.0,RED
2026-06-29 06:45:00,23995.95,23999.05,23964.85,23968.4,12019898.0,RED
2026-06-29 07:00:00,23968.45,23975.05,23925.4,23944.45,13088688.0,RED
2026-06-29 07:15:00,23945.0,23968.55,23941.0,23963.3,10094095.0,GREEN
2026-06-29 07:30:00,23964.25,23979.7,23946.0,23962.7,12180252.0,RED
2026-06-29 07:45:00,23962.15,23967.3,23944.8,23965.15,9985046.0,GREEN
2026-06-29 08:00:00,23965.65,23981.25,23935.8,23940.45,11574744.0,RED
2026-06-29 08:15:00,23940.65,23959.2,23926.3,23947.7,12310346.0,GREEN
2026-06-29 08:30:00,23947.05,23967.55,23945.1,23958.35,12044322.0,GREEN
2026-06-29 08:45:00,23960.15,23972.6,23944.05,23950.85,12091664.0,RED
2026-06-29 09:00:00,23951.4,23970.6,23934.25,23964.25,14164828.0,GREEN
2026-06-29 09:15:00,23965.15,23970.3,23927.1,23930.6,17933383.0,RED
2026-06-29 09:30:00,23931.05,23987.2,23924.55,23943.2,126553582.0,GREEN
2026-06-29 09:45:00,23943.7,23985.15,23932.9,23978.5,117217546.0,GREEN
2026-06-29 10:00:00,23946.25,23946.25,23946.25,23946.25,0.0,DOJI
