datetime,open,high,low,close,volume,candle_color
2026-07-02 09:00:00+05:30,143882.0,144446.0,143882.0,144250.0,520.0,GREEN
2026-07-02 09:15:00+05:30,144250.0,144448.0,144106.0,144350.0,225.0,GREEN
2026-07-02 09:30:00+05:30,144394.0,144420.0,144187.0,144206.0,117.0,RED
2026-07-02 09:45:00+05:30,144251.0,144251.0,144011.0,144065.0,76.0,RED
2026-07-02 10:00:00+05:30,144065.0,144065.0,143864.0,143927.0,78.0,RED
2026-07-02 10:15:00+05:30,143921.0,144035.0,143874.0,143980.0,37.0,GREEN
2026-07-02 10:30:00+05:30,143900.0,143900.0,143765.0,143795.0,95.0,RED
2026-07-02 10:45:00+05:30,143775.0,143953.0,143775.0,143857.0,50.0,GREEN
2026-07-02 11:00:00+05:30,143820.0,143960.0,143766.0,143949.0,75.0,GREEN
2026-07-02 11:15:00+05:30,143949.0,144500.0,143949.0,144475.0,169.0,GREEN
2026-07-02 11:30:00+05:30,144502.0,144737.0,144461.0,144516.0,136.0,GREEN
2026-07-02 11:45:00+05:30,144500.0,144980.0,144421.0,144750.0,142.0,GREEN
2026-07-02 12:00:00+05:30,144732.0,144887.0,144732.0,144772.0,37.0,GREEN
