datetime,open,high,low,close,volume,candle_color
2026-07-01 09:15:00+05:30,265.2,272.8,265.2,272.1,37945.0,GREEN
2026-07-01 09:30:00+05:30,272.18,272.6,272.0,272.42,47263.0,GREEN
2026-07-01 09:45:00+05:30,272.22,272.75,272.22,272.7,6609.0,GREEN
2026-07-01 10:00:00+05:30,272.7,272.8,272.38,272.6,12021.0,RED
2026-07-01 10:15:00+05:30,272.76,273.18,272.63,272.91,13583.0,GREEN
2026-07-01 10:30:00+05:30,272.9,272.94,272.41,272.45,3655.0,RED
2026-07-01 10:45:00+05:30,272.41,272.74,272.31,272.74,3369.0,GREEN
2026-07-01 11:00:00+05:30,272.74,272.99,272.49,272.99,8186.0,GREEN
2026-07-01 11:15:00+05:30,272.99,273.08,272.7,272.88,8616.0,RED
2026-07-01 11:30:00+05:30,272.88,272.98,272.54,272.94,1841.0,GREEN
2026-07-01 11:45:00+05:30,272.95,273.07,272.72,273.05,18991.0,GREEN
2026-07-01 12:00:00+05:30,273.06,273.1,272.83,273.03,20196.0,RED
2026-07-01 12:15:00+05:30,273.0,273.02,272.73,272.88,8963.0,RED
2026-07-01 12:30:00+05:30,272.86,273.08,272.7,272.72,7093.0,RED
2026-07-01 12:45:00+05:30,272.8,273.0,272.72,272.98,2913.0,GREEN
2026-07-01 13:00:00+05:30,272.98,272.98,272.7,272.9,1380.0,RED
2026-07-01 13:15:00+05:30,272.74,272.99,272.67,272.67,4153.0,RED
2026-07-01 13:30:00+05:30,272.89,273.09,272.59,272.82,10199.0,RED
2026-07-01 13:45:00+05:30,272.84,273.08,272.79,272.9,1576.0,GREEN
2026-07-01 14:00:00+05:30,272.98,273.06,272.9,272.97,1474.0,RED
2026-07-01 14:15:00+05:30,273.06,273.1,272.97,272.99,3380.0,RED
2026-07-01 14:30:00+05:30,272.99,273.0,272.55,272.69,12582.0,RED
2026-07-01 14:45:00+05:30,272.87,272.87,272.73,272.85,1754.0,RED
