datetime,open,high,low,close,volume,candle_color,points
2025-03-03 03:45:00,22194.55078125,22261.55078125,22154.849609375,22174.55,0.0,RED,20.000781250000728
2025-03-03 04:00:00,22173.2,22189.25,22127.5,22130.35,0.0,RED,42.85000000000218
2025-03-03 04:15:00,22130.1,22133.0,22050.55078125,22067.5,0.0,RED,62.599999999998545
2025-03-03 04:30:00,22068.1,22072.2,22012.25,22024.9,0.0,RED,43.19999999999709
2025-03-03 04:45:00,22025.55,22104.2,22022.8,22100.2,0.0,GREEN,74.65000000000146
2025-03-03 05:00:00,22097.15,22100.9,22038.4,22046.0,0.0,RED,51.150000000001455
2025-03-03 05:15:00,22044.4,22080.55,22035.1,22045.1,0.0,GREEN,0.6999999999970896
2025-03-03 05:30:00,22043.8,22049.85,22005.69921875,22031.6,0.0,RED,12.200000000000728
2025-03-03 05:45:00,22030.55,22036.45,22004.69921875,22031.45,0.0,GREEN,0.9000000000014552
2025-03-03 06:00:00,22031.5,22044.25,22010.5,22016.85,0.0,RED,14.650000000001455
2025-03-03 06:15:00,22017.05,22040.3,22011.35,22012.8,0.0,RED,4.25
2025-03-03 06:30:00,22013.1,22055.85,22006.7,22054.75,0.0,GREEN,41.650000000001455
2025-03-03 06:45:00,22054.55,22086.5,22037.1,22071.7,0.0,GREEN,17.150000000001455
2025-03-03 07:00:00,22071.5,22110.95,22070.85,22105.45,0.0,GREEN,33.95000000000073
2025-03-03 07:15:00,22105.85,22154.15,22105.85,22113.75,0.0,GREEN,7.900000000001455
2025-03-03 07:30:00,22113.55,22155.05,22105.0,22154.8,0.0,GREEN,41.25
2025-03-03 07:45:00,22154.95,22174.15,22110.4,22117.15,0.0,RED,37.79999999999927
2025-03-03 08:00:00,22120.3,22126.3,22092.45,22119.1,0.0,RED,1.2000000000007276
2025-03-03 08:15:00,22121.3,22149.75,22098.6,22100.2,0.0,RED,21.099999999998545
2025-03-03 08:30:00,22099.7,22128.5,22071.9,22120.85,0.0,GREEN,21.149999999997817
2025-03-03 08:45:00,22124.45,22153.55,22092.3,22146.95,0.0,GREEN,22.5
2025-03-03 09:00:00,22146.7,22150.8,22120.4,22138.65,0.0,RED,8.049999999999272
2025-03-03 09:15:00,22142.7,22144.75,22112.35,22130.9,0.0,RED,11.799999999999272
2025-03-03 09:30:00,22128.0,22130.85,22099.2,22117.25,0.0,RED,10.75
2025-03-03 09:45:00,22117.2,22146.55,22110.1,22143.15,0.0,GREEN,25.950000000000728
2025-03-04 03:45:00,21974.44921875,22049.650390625,21964.599609375,22001.6,0.0,GREEN,27.150781249998545
2025-03-04 04:00:00,21999.5,22069.349609375,21991.6,22041.4,0.0,GREEN,41.900000000001455
2025-03-04 04:15:00,22039.2,22071.69921875,22013.6,22058.6,0.0,GREEN,19.399999999997817
2025-03-04 04:30:00,22059.4,22091.05078125,22032.1,22049.95,0.0,RED,9.450000000000728
2025-03-04 04:45:00,22049.25,22076.85,22049.25,22059.5,0.0,GREEN,10.25
2025-03-04 05:00:00,22059.1,22077.2,22048.15,22052.65,0.0,RED,6.44999999999709
2025-03-04 05:15:00,22052.9,22089.4,22051.3,22082.3,0.0,GREEN,29.399999999997817
2025-03-04 05:30:00,22082.65,22104.25,22072.4,22083.7,0.0,GREEN,1.0499999999992724
2025-03-04 05:45:00,22083.1,22086.2,22063.2,22069.5,0.0,RED,13.599999999998545
2025-03-04 06:00:00,22069.8,22086.35,22068.35,22070.2,0.0,GREEN,0.4000000000014552
2025-03-04 06:15:00,22069.4,22073.35,22048.8,22072.1,0.0,GREEN,2.6999999999970896
2025-03-04 06:30:00,22072.25,22074.5,22047.95,22058.0,0.0,RED,14.25
2025-03-04 06:45:00,22058.2,22075.35,22049.65,22068.65,0.0,GREEN,10.450000000000728
2025-03-04 07:00:00,22068.1,22074.65,22063.95,22064.25,0.0,RED,3.849999999998545
2025-03-04 07:15:00,22064.0,22073.3,22049.0,22052.85,0.0,RED,11.150000000001455
2025-03-04 07:30:00,22055.65,22057.6,22035.05,22056.35,0.0,GREEN,0.6999999999970896
2025-03-04 07:45:00,22056.6,22068.75,22046.1,22050.55,0.0,RED,6.049999999999272
2025-03-04 08:00:00,22051.6,22059.95,22039.6,22058.65,0.0,GREEN,7.05000000000291
2025-03-04 08:15:00,22057.6,22074.45,22047.35,22069.15,0.0,GREEN,11.55000000000291
2025-03-04 08:30:00,22069.55,22105.05078125,22064.05,22087.6,0.0,GREEN,18.049999999999272
2025-03-04 08:45:00,22088.55,22100.35,22075.2,22085.4,0.0,RED,3.149999999997817
2025-03-04 09:00:00,22085.35,22096.15,22077.95,22083.1,0.0,RED,2.25
2025-03-04 09:15:00,22083.5,22104.65,22075.5,22098.6,0.0,GREEN,15.099999999998545
2025-03-04 09:30:00,22097.65,22098.55,22074.85,22082.05,0.0,RED,15.600000000002183
2025-03-04 09:45:00,22082.6,22090.95,22064.7,22080.3,0.0,RED,2.2999999999992724
2025-03-05 03:45:00,22073.05078125,22197.849609375,22067.80078125,22193.3,0.0,GREEN,120.24921874999927
2025-03-05 04:00:00,22192.8,22250.19921875,22185.0,22237.6,0.0,GREEN,44.79999999999927
2025-03-05 04:15:00,22237.6,22264.099609375,22231.0,22256.45,0.0,GREEN,18.850000000002183
2025-03-05 04:30:00,22254.75,22265.150390625,22227.2,22239.0,0.0,RED,15.75
2025-03-05 04:45:00,22238.7,22251.4,22211.1,22251.1,0.0,GREEN,12.399999999997817
2025-03-05 05:00:00,22251.05,22284.69921875,22244.85,22282.7,0.0,GREEN,31.650000000001455
2025-03-05 05:15:00,22283.15,22288.349609375,22266.6,22284.35,0.0,GREEN,1.1999999999970896
2025-03-05 05:30:00,22284.3,22296.349609375,22270.6,22282.35,0.0,RED,1.9500000000007276
2025-03-05 05:45:00,22282.65,22293.4,22277.0,22290.05,0.0,GREEN,7.399999999997817
2025-03-05 06:00:00,22290.7,22337.400390625,22290.2,22337.1,0.0,GREEN,46.39999999999782
2025-03-05 06:15:00,22336.75,22375.05078125,22336.45,22357.45,0.0,GREEN,20.700000000000728
2025-03-05 06:30:00,22357.65,22372.8,22352.6,22362.1,0.0,GREEN,4.44999999999709
2025-03-05 06:45:00,22361.9,22371.05,22347.7,22368.55,0.0,GREEN,6.649999999997817
2025-03-05 07:00:00,22368.65,22394.900390625,22368.65,22372.3,0.0,GREEN,3.649999999997817
