datetime,open,high,low,close,volume,candle_color
2026-06-01 09:15:00+05:30,267.83,269.34,267.5,267.75,59095.0,RED
2026-06-01 09:30:00+05:30,267.78,268.15,267.52,267.62,14677.0,RED
2026-06-01 09:45:00+05:30,267.67,267.85,267.37,267.49,10740.0,RED
2026-06-01 10:00:00+05:30,267.44,267.6,267.11,267.26,6385.0,RED
2026-06-01 10:15:00+05:30,267.38,267.48,267.0,267.04,9808.0,RED
2026-06-01 10:30:00+05:30,267.26,267.33,267.0,267.29,4729.0,GREEN
2026-06-01 10:45:00+05:30,267.1,267.73,267.1,267.5,36686.0,GREEN
2026-06-01 11:00:00+05:30,267.6,267.79,267.42,267.79,7785.0,GREEN
2026-06-01 11:15:00+05:30,267.79,267.91,267.31,267.31,3694.0,RED
2026-06-01 11:30:00+05:30,267.48,267.48,267.15,267.35,2895.0,RED
2026-06-01 11:45:00+05:30,267.34,267.35,266.76,266.76,10508.0,RED
2026-06-01 12:00:00+05:30,266.8,267.19,266.43,267.19,3429.0,GREEN
2026-06-01 12:15:00+05:30,267.06,267.24,266.9,267.05,3198.0,RED
2026-06-01 12:30:00+05:30,267.05,267.1,266.85,266.9,5393.0,RED
2026-06-01 12:45:00+05:30,266.9,267.1,266.85,266.93,2524.0,GREEN
2026-06-01 13:00:00+05:30,266.98,266.98,266.09,266.44,3399.0,RED
2026-06-01 13:15:00+05:30,266.41,266.57,266.35,266.54,1535.0,GREEN
2026-06-01 13:30:00+05:30,266.58,266.78,266.52,266.72,4277.0,GREEN
2026-06-01 13:45:00+05:30,266.59,266.64,266.21,266.31,2348.0,RED
2026-06-01 14:00:00+05:30,266.4,266.4,265.9,265.9,4800.0,RED
2026-06-01 14:15:00+05:30,265.87,265.96,265.62,265.65,7056.0,RED
2026-06-01 14:30:00+05:30,265.67,265.97,265.55,265.9,5152.0,GREEN
2026-06-01 14:45:00+05:30,265.8,265.97,265.32,265.49,16319.0,RED
2026-06-01 15:00:00+05:30,265.5,265.96,265.36,265.71,8431.0,GREEN
2026-06-01 15:15:00+05:30,265.7,265.86,265.27,265.83,22334.0,GREEN
2026-06-02 09:15:00+05:30,258.88,264.56,258.88,264.4,30056.0,GREEN
2026-06-02 09:30:00+05:30,264.41,264.66,264.0,264.58,15946.0,GREEN
2026-06-02 09:45:00+05:30,264.64,264.83,264.04,264.66,29295.0,GREEN
2026-06-02 10:00:00+05:30,264.66,264.82,264.34,264.42,9892.0,RED
2026-06-02 10:15:00+05:30,264.35,265.32,264.11,265.3,35847.0,GREEN
2026-06-02 10:30:00+05:30,265.3,265.37,264.85,265.11,14811.0,RED
2026-06-02 10:45:00+05:30,265.13,265.13,264.21,264.5,9448.0,RED
2026-06-02 11:00:00+05:30,264.49,264.66,264.31,264.6,7226.0,GREEN
2026-06-02 11:15:00+05:30,264.65,265.19,264.45,264.76,14285.0,GREEN
2026-06-02 11:30:00+05:30,264.91,265.07,264.41,264.5,6459.0,RED
2026-06-02 11:45:00+05:30,264.53,264.59,264.29,264.42,7290.0,RED
2026-06-02 12:00:00+05:30,264.44,264.44,264.06,264.27,5026.0,RED
2026-06-02 12:15:00+05:30,264.18,264.49,264.18,264.19,3588.0,GREEN
2026-06-02 12:30:00+05:30,264.29,265.0,264.19,265.0,10791.0,GREEN
2026-06-02 12:45:00+05:30,265.09,265.99,265.09,265.67,8578.0,GREEN
2026-06-02 13:00:00+05:30,265.92,266.43,265.57,266.02,2774.0,GREEN
2026-06-02 13:15:00+05:30,266.02,266.31,266.02,266.31,23776.0,GREEN
2026-06-02 13:30:00+05:30,266.35,266.69,266.22,266.27,13424.0,RED
2026-06-02 13:45:00+05:30,266.46,266.64,266.24,266.5,10608.0,GREEN
2026-06-02 14:00:00+05:30,266.52,266.63,266.35,266.63,2129.0,GREEN
2026-06-02 14:15:00+05:30,266.5,266.94,266.27,266.33,16045.0,RED
2026-06-02 14:30:00+05:30,266.57,266.59,265.5,265.75,8391.0,RED
2026-06-02 14:45:00+05:30,265.7,265.9,265.19,265.45,22816.0,RED
2026-06-02 15:00:00+05:30,265.53,266.42,265.37,266.08,8341.0,GREEN
2026-06-02 15:15:00+05:30,266.24,266.63,266.07,266.38,46696.0,GREEN
2026-06-03 09:15:00+05:30,264.2,266.45,263.95,264.32,70052.0,GREEN
2026-06-03 09:30:00+05:30,264.33,264.37,263.86,264.18,33929.0,RED
2026-06-03 09:45:00+05:30,264.18,264.38,263.75,264.06,27510.0,RED
2026-06-03 10:00:00+05:30,264.08,264.37,263.8,263.8,39772.0,RED
2026-06-03 10:15:00+05:30,263.8,264.34,263.7,263.96,25423.0,GREEN
2026-06-03 10:30:00+05:30,263.98,264.0,263.5,263.7,16216.0,RED
2026-06-03 10:45:00+05:30,263.69,263.91,263.5,263.71,14507.0,GREEN
2026-06-03 11:00:00+05:30,263.65,263.81,263.38,263.51,17899.0,RED
2026-06-03 11:15:00+05:30,263.5,263.89,263.4,263.66,10574.0,GREEN
2026-06-03 11:30:00+05:30,263.65,263.86,263.45,263.64,21813.0,RED
