datetime,open,high,low,close,volume,candle_color
2026-07-01 09:15:00+05:30,23906.15,23930.85,23895.1,23922.95,21597509.0,GREEN
2026-07-01 09:30:00+05:30,23919.95,23949.95,23912.65,23944.2,16486697.0,GREEN
2026-07-01 09:45:00+05:30,23943.5,23985.5,23943.45,23981.65,11491557.0,GREEN
2026-07-01 10:00:00+05:30,23981.15,23996.4,23962.75,23987.05,12604098.0,GREEN
2026-07-01 10:15:00+05:30,23986.9,24020.65,23986.45,23997.2,10894091.0,GREEN
2026-07-01 10:30:00+05:30,23996.25,24004.3,23947.35,23954.05,7990979.0,RED
2026-07-01 10:45:00+05:30,23952.75,23983.65,23951.7,23976.4,6883680.0,GREEN
2026-07-01 11:00:00+05:30,23975.8,24020.95,23975.2,24019.5,10316796.0,GREEN
2026-07-01 11:15:00+05:30,24018.75,24026.85,23998.6,24008.8,10145925.0,RED
2026-07-01 11:30:00+05:30,24008.35,24013.65,23997.45,23998.1,2075008.0,RED
