datetime,open,high,low,close,volume,candle_color
2026-06-01 18:00:00+05:30,159500.0,159540.0,159371.0,159421.0,19.0,RED
2026-06-01 18:15:00+05:30,159579.0,159635.0,159498.0,159498.0,56.0,RED
2026-06-01 18:30:00+05:30,159498.0,159579.0,158955.0,159260.0,190.0,RED
2026-06-01 18:45:00+05:30,159191.0,159300.0,158670.0,158808.0,234.0,RED
2026-06-01 19:00:00+05:30,158806.0,158977.0,158628.0,158884.0,143.0,GREEN
2026-06-01 19:15:00+05:30,158884.0,158884.0,158396.0,158402.0,213.0,RED
2026-06-01 19:30:00+05:30,158400.0,158700.0,158341.0,158700.0,137.0,GREEN
2026-06-01 19:45:00+05:30,158680.0,158729.0,158433.0,158454.0,92.0,RED
2026-06-01 20:00:00+05:30,158454.0,158650.0,158451.0,158647.0,130.0,GREEN
2026-06-01 20:15:00+05:30,158647.0,158659.0,158500.0,158551.0,84.0,RED
2026-06-01 20:30:00+05:30,158660.0,158845.0,158550.0,158806.0,67.0,GREEN
2026-06-01 20:45:00+05:30,158805.0,159000.0,158711.0,159000.0,63.0,GREEN
2026-06-01 21:00:00+05:30,159052.0,159150.0,158908.0,158908.0,87.0,RED
2026-06-01 21:15:00+05:30,158919.0,159070.0,158792.0,159065.0,29.0,GREEN
2026-06-01 21:30:00+05:30,159096.0,159099.0,158705.0,158742.0,42.0,RED
2026-06-01 21:45:00+05:30,158742.0,158850.0,158700.0,158770.0,37.0,GREEN
2026-06-01 22:00:00+05:30,158845.0,158940.0,158785.0,158800.0,26.0,RED
2026-06-02 18:00:00+05:30,160347.0,160500.0,160332.0,160390.0,71.0,GREEN
2026-06-02 18:15:00+05:30,160390.0,160390.0,160100.0,160100.0,88.0,RED
2026-06-02 18:30:00+05:30,160167.0,160244.0,160023.0,160023.0,47.0,RED
2026-06-02 18:45:00+05:30,160025.0,160192.0,159943.0,160005.0,108.0,RED
2026-06-02 19:00:00+05:30,160025.0,160130.0,159960.0,159991.0,46.0,RED
2026-06-02 19:15:00+05:30,159991.0,160103.0,159950.0,159987.0,80.0,RED
2026-06-02 19:30:00+05:30,159838.0,159987.0,159753.0,159905.0,123.0,GREEN
2026-06-02 19:45:00+05:30,159875.0,159875.0,159456.0,159640.0,245.0,RED
2026-06-02 20:00:00+05:30,159658.0,159931.0,159640.0,159817.0,157.0,GREEN
2026-06-02 20:15:00+05:30,159825.0,159912.0,159719.0,159785.0,27.0,RED
2026-06-02 20:30:00+05:30,159899.0,159929.0,159818.0,159867.0,10.0,RED
2026-06-02 20:45:00+05:30,159835.0,159943.0,159833.0,159833.0,35.0,RED
2026-06-02 21:00:00+05:30,159833.0,159923.0,159751.0,159766.0,25.0,RED
2026-06-02 21:15:00+05:30,159765.0,159890.0,159720.0,159746.0,42.0,RED
2026-06-02 21:30:00+05:30,159742.0,159784.0,159683.0,159683.0,40.0,RED
2026-06-02 21:45:00+05:30,159708.0,159708.0,159450.0,159511.0,95.0,RED
2026-06-02 22:00:00+05:30,159476.0,159589.0,159375.0,159515.0,68.0,GREEN
2026-06-03 18:00:00+05:30,158602.0,158827.0,158511.0,158827.0,45.0,GREEN
2026-06-03 18:15:00+05:30,158827.0,159085.0,158721.0,158901.0,62.0,GREEN
2026-06-03 18:30:00+05:30,158900.0,159111.0,158900.0,159105.0,33.0,GREEN
2026-06-03 18:45:00+05:30,159000.0,159000.0,158580.0,158601.0,37.0,RED
2026-06-03 19:00:00+05:30,158700.0,158750.0,158200.0,158200.0,128.0,RED
2026-06-03 19:15:00+05:30,158168.0,158676.0,158168.0,158525.0,125.0,GREEN
2026-06-03 19:30:00+05:30,158473.0,158849.0,158439.0,158771.0,79.0,GREEN
2026-06-03 19:45:00+05:30,158771.0,158860.0,158590.0,158633.0,21.0,RED
2026-06-03 20:00:00+05:30,158760.0,158804.0,158700.0,158804.0,19.0,GREEN
2026-06-03 20:15:00+05:30,158804.0,158990.0,158750.0,158933.0,71.0,GREEN
2026-06-03 20:30:00+05:30,158950.0,158950.0,158606.0,158606.0,16.0,RED
2026-06-03 20:45:00+05:30,158592.0,158732.0,158520.0,158656.0,47.0,GREEN
2026-06-03 21:00:00+05:30,158656.0,158656.0,158405.0,158580.0,37.0,RED
2026-06-03 21:15:00+05:30,158580.0,158619.0,158450.0,158502.0,20.0,RED
2026-06-03 21:30:00+05:30,158502.0,158550.0,158448.0,158523.0,31.0,GREEN
2026-06-03 21:45:00+05:30,158485.0,158495.0,158372.0,158450.0,28.0,RED
2026-06-03 22:00:00+05:30,158450.0,158565.0,158379.0,158395.0,17.0,RED
2026-06-04 18:00:00+05:30,160039.0,160140.0,159980.0,160020.0,98.0,RED
2026-06-04 18:15:00+05:30,160068.0,160250.0,160034.0,160136.0,123.0,GREEN
2026-06-04 18:30:00+05:30,160118.0,160270.0,160025.0,160044.0,72.0,RED
2026-06-04 18:45:00+05:30,160027.0,160230.0,160027.0,160100.0,63.0,GREEN
2026-06-04 19:00:00+05:30,160064.0,160382.0,160047.0,160382.0,97.0,GREEN
2026-06-04 19:15:00+05:30,160355.0,160355.0,159900.0,159900.0,163.0,RED
2026-06-04 19:30:00+05:30,159916.0,160070.0,159656.0,159725.0,181.0,RED
2026-06-04 19:45:00+05:30,159725.0,159900.0,159625.0,159700.0,72.0,RED
2026-06-04 20:00:00+05:30,159672.0,159672.0,159365.0,159435.0,127.0,RED
2026-06-04 20:15:00+05:30,159410.0,159426.0,158901.0,159180.0,291.0,RED
2026-06-04 20:30:00+05:30,159196.0,159394.0,159175.0,159360.0,62.0,GREEN
2026-06-04 20:45:00+05:30,159392.0,159402.0,159281.0,159281.0,18.0,RED
2026-06-04 21:00:00+05:30,159281.0,159478.0,159281.0,159400.0,27.0,GREEN
2026-06-04 21:15:00+05:30,159385.0,159551.0,159385.0,159528.0,32.0,GREEN
2026-06-04 21:30:00+05:30,159528.0,159600.0,159422.0,159542.0,27.0,GREEN
2026-06-04 21:45:00+05:30,159542.0,159655.0,159500.0,159649.0,40.0,GREEN
2026-06-04 22:00:00+05:30,159590.0,159590.0,159500.0,159561.0,19.0,RED
2026-06-05 18:00:00+05:30,158009.0,158009.0,157601.0,157697.0,263.0,RED
2026-06-05 18:15:00+05:30,157755.0,157888.0,156726.0,156726.0,506.0,RED
2026-06-05 18:30:00+05:30,156755.0,157329.0,156650.0,157220.0,278.0,GREEN
2026-06-05 18:45:00+05:30,157171.0,157210.0,156728.0,156728.0,154.0,RED
2026-06-05 19:00:00+05:30,156740.0,156904.0,156250.0,156309.0,340.0,RED
2026-06-05 19:15:00+05:30,156331.0,156400.0,155709.0,155709.0,357.0,RED
2026-06-05 19:30:00+05:30,155710.0,156177.0,155667.0,155756.0,348.0,GREEN
2026-06-05 19:45:00+05:30,155756.0,155960.0,155313.0,155417.0,323.0,RED
2026-06-05 20:00:00+05:30,155434.0,155534.0,154802.0,154900.0,314.0,RED
2026-06-05 20:15:00+05:30,154969.0,155890.0,154956.0,155821.0,238.0,GREEN
2026-06-05 20:30:00+05:30,155846.0,155890.0,155287.0,155287.0,108.0,RED
2026-06-05 20:45:00+05:30,155220.0,155346.0,155073.0,155307.0,157.0,GREEN
2026-06-05 21:00:00+05:30,155311.0,155418.0,154900.0,155039.0,161.0,RED
2026-06-05 21:15:00+05:30,155000.0,155168.0,154961.0,155045.0,97.0,GREEN
2026-06-05 21:30:00+05:30,155000.0,155156.0,154876.0,154998.0,137.0,RED
2026-06-05 21:45:00+05:30,155000.0,155050.0,154790.0,154922.0,129.0,RED
2026-06-05 22:00:00+05:30,154916.0,154973.0,154801.0,154869.0,71.0,RED
2026-06-08 18:00:00+05:30,154763.0,155100.0,154760.0,155000.0,141.0,GREEN
